occurrence,label
1,"adresse"
2,"éloge"
3,"éloge"
4,"ethos"
5,"adversaire religieux"
6,"adversaire religieux"
7,"adversaire religieux"
8,"proverbes, sagesse et parole gnomique"
9,"proverbes, sagesse et parole gnomique"
10,"satire généraliste"
11,"satire généraliste"
12,"tautologie"
13,"métadiscours"
14,"adversaire religieux"
15,"adversaire religieux"
16,"misères du temps"
17,"adversaire religieux"
18,"ironie"
19,"adversaire religieux"
20,"adversaire religieux"
22,"adversaire religieux"
23,"adversaire religieux"
24,"adversaire religieux"
25,"malédiction, imprécation contre l'adversaire"
26,"lâcheté"
27,"monde renversé et perte des valeurs"
28,"situation politique"
29,"polémique religieuse"
30,"prophéties"
31,"hypocrisie"
32,"vie de la cour"
33,"prophéties"
34,"prophéties"
35,"syllepse"
36,"prophéties"
37,"misères du temps"
38,"argent et ressources financières"
39,"satire personnelle"
41,"situation politique"
42,"situation politique"
43,"situation politique"
44,"ethos"
45,"satire généraliste"
46,"vie de la cour"
47,"adversaire religieux"
48,"adversaire religieux"
49,"maladie"
50,"adversaire religieux"
51,"satire personnelle"
52,"satire personnelle"
53,"satire personnelle"
54,"métadiscours"
55,"amour"
56,"amour"
57,"proverbes, sagesse et parole gnomique"
59,"situation politique"
60,"situation politique"
61,"situation militaire"
62,"situation militaire"
63,"satire religieuse"
64,"satire religieuse"
66,"satire religieuse"
67,"proverbes, sagesse et parole gnomique"
68,"amour"
69,"amour"
70,"amour"
71,"amour"
72,"amour"
73,"argent et ressources financières"
74,"ethos"
75,"guerre extérieure"
76,"guerre extérieure"
77,"guerre extérieure"
78,"lâcheté"
79,"guerre extérieure"
80,"guerre extérieure"
81,"ethos"
82,"argent et ressources financières"
83,"hypocrisie"
84,"ironie"
85,"éloge"
86,"éloge"
87,"ethos"
88,"ethos"
89,"adversaire religieux"
90,"hypocrisie"
91,"hypocrisie"
92,"hypocrisie"
93,"conception eschatologique"
94,"révélation(s)"
95,"révélation(s)"
96,"prophéties"
97,"satire religieuse"
98,"misogynie"
99,"métadiscours"
100,"mode"
101,"mode"
102,"mode"
103,"mode"
104,"Abus de l'église"
105,"Abus de l'église"
106,"argent et ressources financières"
107,"Abus de l'église"
108,"Abus de l'église"
109,"Abus de l'église"
110,"polémique religieuse"
111,"satire religieuse"
112,"satire religieuse"
113,"satire religieuse"
114,"satire religieuse"
115,"prophéties"
116,"situation politique"
117,"guerre extérieure"
118,"guerre extérieure"
119,"guerre extérieure"
120,"guerre extérieure"
121,"argent et ressources financières"
122,"argent et ressources financières"
123,"situation politique"
124,"situation politique"
125,"situation politique"
126,"situation politique"
127,"situation politique"
128,"situation politique"
129,"vie de la cour"
130,"vie de la cour"
131,"vie de la cour"
132,"ethos"
133,"ethos"
134,"vie de la cour"
135,"vie de la cour"
136,"vie de la cour"
137,"vie de la cour"
138,"vie de la cour"
139,"métadiscours"
140,"situation politique"
141,"situation politique"
142,"situation politique"
143,"argent et ressources financières"
144,"satire généraliste"
145,"épanorthose"
146,"épanorthose"
147,"bien vivre"
148,"satire généraliste"
149,"corruption"
150,"corruption"
151,"lâcheté"
152,"guerre extérieure"
153,"guerre extérieure"
154,"argent et ressources financières"
155,"guerre extérieure"
156,"ironie"
157,"ethos"
158,"polémique religieuse"
160,"leitmotiv"
161,"lâcheté"
162,"corruption"
163,"situation politique"
164,"situation politique"
165,"lieu commun"
166,"satire généraliste"
167,"satire généraliste"
168,"satire généraliste"
169,"proverbes, sagesse et parole gnomique"
170,"appel à la prudence ou prudence nécessaire"
171,"prétérition"
172,"situation politique"
173,"situation politique"
174,"proverbes, sagesse et parole gnomique"
175,"proverbes, sagesse et parole gnomique"
176,"satire personnelle"
177,"satire personnelle"
178,"satire personnelle"
179,"satire personnelle"
180,"adversaire religieux"
181,"adversaire religieux"
182,"adversaire religieux"
183,"adversaire religieux"
184,"adversaire religieux"
185,"métadiscours"
186,"métadiscours"
187,"éloge"
188,"éloge"
189,"éloge"
190,"éloge"
191,"éloge"
192,"situation politique"
193,"éloge"
194,"éloge"
195,"métadiscours"
196,"métadiscours"
197,"monde renversé et perte des valeurs"
198,"monde renversé et perte des valeurs"
199,"satire religieuse"
200,"satire religieuse"
201,"satire religieuse"
202,"satire religieuse"
203,"éloge"
204,"éloge"
205,"éloge"
206,"prophéties"
207,"proverbes, sagesse et parole gnomique"
208,"proverbes, sagesse et parole gnomique"
209,"situation politique"
210,"situation politique"
211,"satire personnelle"
212,"satire personnelle"
213,"hypocrisie"
214,"hypocrisie"
215,"hypocrisie"
216,"hypocrisie"
217,"hypocrisie"
218,"appel à la prudence ou prudence nécessaire"
219,"situation politique"
220,"ironie"
221,"satire personnelle"
222,"ironie"
223,"ironie"
224,"satire personnelle"
225,"satire personnelle"
226,"satire personnelle"
227,"satire personnelle"
228,"métadiscours"
229,"métadiscours"
230,"ethos"
231,"ethos"
232,"ethos"
233,"adresse"
234,"éloge"
235,"adresse"
236,"ethos"
237,"métadiscours"
238,"conclusion, formule de clôture de l'épître"
